name	type	navis_haplotype	navis	navis_slim
ESE01543_SLR54_2	SLR	NA	NA	NA
ESE01543_SLR55	SLR	NA	NA	NA
ESE01543_SLR56	SLR	NA	NA	NA
ESE01543_SLR57	SLR	NA	NA	NA
ESE01543_SLR58	SLR	NA	NA	NA
ESE01543_SLR59	SLR	NA	NA	NA
ESE01543_s01090	Starship	navis0002-hap0002	navis0002	NA
ESE01543_s01094	Starship	navis0004-hap0001	navis0004	NA
ESE01543_s01103	Starship	navis0002-hap0009	navis0002	NA
ESE01543_s01111	Starship	navis0009-hap0030	navis0009	NA
ESE01564_s01113	Starship	navis0004-hap0001	navis0004	NA
ESE01567_s01133	Starship	navis0004-hap0001	navis0004	NA
ESE01567_s01143	Starship	navis0002-hap0002	navis0002	NA
ESE01587_s01161	Starship	navis0004-hap0001	navis0004	NA
ESE01587_s01167	Starship	navis0010-hap0016	navis0010	NA
ESE01592_s01222	Starship	navis0004-hap0001	navis0004	NA
ESE01592_s01228	Starship	navis0014-hap0008	navis0014	NA
ESE01594_s01235	Starship	navis0010-hap0031	navis0010	NA
ESE01594_s01244	Starship	navis0002-hap0002	navis0002	NA
ESE01617_s01276	Starship	navis0004-hap0001	navis0004	NA
ESE01619_s01300	Starship	navis0004-hap0001	navis0004	NA
ESE01619_s01305	Starship	navis0014-hap0008	navis0014	NA
ESE01623_s01314	Starship	navis0004-hap0001	navis0004	NA
ESE01635_s01331	Starship	navis0009-hap0012	navis0009	NA
ESE01653_s01348	Starship	navis0004-hap0001	navis0004	NA
ESE01661_s01361	Starship	navis0009-hap0003	navis0009	NA
ESE01696_s01387	Starship	navis0004-hap0001	navis0004	NA
ESE01841_s01404	Starship	navis0004-hap0001	navis0004	NA
ESE01892_s01423	Starship	navis0004-hap0001	navis0004	NA
ESE01900_s01436	Starship	navis0002-hap0002	navis0002	NA
ESE02164_s01526	Starship	navis0004-hap0001	navis0004	NA
ESE02164_s01532	Starship	navis0002-hap0002	navis0002	NA
ESE02184_s01550	Starship	navis0002-hap0002	navis0002	NA
ESE02190_s01571	Starship	navis0004-hap0001	navis0004	NA
ESE02190_s01575	Starship	navis0002-hap0002	navis0002	NA
LCP05531_SLR60	SLR	NA	NA	NA
LCP05531_SLR62	SLR	NA	NA	NA
LCP05531_SLR63	SLR	NA	NA	NA
LCP05531_SLR66	SLR	NA	NA	NA
LCP05531_SLR67	SLR	NA	NA	NA
LCP05531_SLR68	SLR	NA	NA	NA
LCP05531_SLR69	SLR	NA	NA	NA
LCP05531_SLR70	SLR	NA	NA	NA
LCP05531_SLR71	SLR	NA	NA	NA
LCP05531_SLR72	SLR	NA	NA	NA
LCP05531_SLR74	SLR	NA	NA	NA
LCP05531_SLR75	SLR	NA	NA	NA
LCP05531_SLR76	SLR	NA	NA	NA
LCP05531_SLR77	SLR	NA	NA	NA
LCP05531_s01799	Starship	navis0014-hap0033	navis0014	NA
LCP05531_s01800	Starship	navis0002-hap0009	navis0002	NA
LCP05531_s01801	Starship	navis0013-hap0034	navis0013	NA
LCP05531_s01802	Starship	navis0003-hap0018	navis0003	NA
LCP05531_s01807	Starship	navis0002-hap0002	navis0002	NA
LCP05531_s01808	Starship	navis0011-hap0007	navis0011	NA
LCP05531_s01818	Starship	navis0001-hap0014	navis0001	NA
LCP06093_SLR78	SLR	NA	NA	NA
LCP06093_SLR79	SLR	NA	NA	NA
LCP06093_SLR80	SLR	NA	NA	NA
LCP06093_SLR81	SLR	NA	NA	NA
LCP06093_SLR82	SLR	NA	NA	NA
LCP06093_SLR83	SLR	NA	NA	NA
LCP06093_SLR84	SLR	NA	NA	NA
LCP06093_SLR85	SLR	NA	NA	NA
LCP06093_SLR86	SLR	NA	NA	NA
LCP06093_SLR88	SLR	NA	NA	NA
LCP06093_SLR89	SLR	NA	NA	NA
LCP06093_SLR90	SLR	NA	NA	NA
LCP06093_SLR91	SLR	NA	NA	NA
LCP06093_s01874	Starship	navis0003-hap0011	navis0003	NA
LCP06093_s01880	Starship	navis0016-hap0035	navis0016	NA
LCP06093_s01882	Starship	navis0003-hap0018	navis0003	NA
LCP3239_s01654	Starship	navis0002-hap0032	navis0002	NA
LCP4799_s01694	Starship	navis0001-hap0006	navis0001	NA
LCP4799_s01696	Starship	navis0009-hap0003	navis0009	NA
LCP5327_s01719	Starship	navis0001-hap0006	navis0001	NA
LCP5327_s01721	Starship	navis0004-hap0013	navis0004	NA
LCP5327_s01722	Starship	navis0009-hap0003	navis0009	NA
LCP5471_s01732	Starship	navis0009-hap0003	navis0009	NA
LCP5496_s01742	Starship	navis0004-hap0001	navis0004	NA
LCP5529T_s01783	Starship	navis0002-hap0002	navis0002	NA
LCP5639_s01851	Starship	navis0002-hap0002	navis0002	NA
LCP6615_s01894	Starship	navis0009-hap0003	navis0009	NA
LCP6621_s01936	Starship	navis0013-hap0019	navis0013	NA
LCP6622_s01953	Starship	navis0004-hap0001	navis0004	NA
LCP6623_s01974	Starship	navis0015-hap0020	navis0015	NA
LCP6697_s01988	Starship	navis0009-hap0003	navis0009	NA
LCP6700_s02027	Starship	navis0015-hap0020	navis0015	NA
LCP6701_s02040	Starship	navis0002-hap0002	navis0002	NA
LCP797_s01620	Starship	navis0001-hap0006	navis0001	NA
LCP797_s01623	Starship	navis0009-hap0003	navis0009	NA
LMA421_s02055	Starship	navis0009-hap0017	navis0009	NA
LMA421_s02063	Starship	navis0002-hap0002	navis0002	NA
PN0144_s02085	Starship	navis0013-hap0019	navis0013	NA
PN0144_s02090	Starship	navis0009-hap0003	navis0009	NA
UBOCC-A-112050_s02145	Starship	navis0002-hap0002	navis0002	NA
UBOCC-A-112053_s02172	Starship	navis0002-hap0002	navis0002	NA
UBOCC-A-112059_s02186	Starship	navis0004-hap0001	navis0004	NA
UBOCC-A-116003_s02281	Starship	navis0004-hap0001	navis0004	NA
UBOCC-A-116003_s02288	Starship	navis0015-hap0036	navis0015	NA
