element	contig	start	end	cluster
LCP06093_s01874	LCP06093_contig3	671840	831457	cluster10
LCP06093_s01880	LCP06093_contig7	621255	689401	cluster10
LCP06093_s01882	LCP06093_contig11	43328	308637	cluster4
LCP4799_s01694	LCP4799_contig35	6264	214322	cluster17
LCP4799_s01696	LCP4799_contig116	15832	76795	cluster3
LCP5327_s01719	LCP5327_contig32	45384	253198	cluster17
LCP5327_s01721	LCP5327_contig87	18793	116018	cluster22
LCP5327_s01722	LCP5327_contig97	15833	76718	cluster3
LCP5471_s01732	LCP5471_contig133	17003	77895	cluster3
LCP5496_s01742	LCP5496_contig45	19656	129575	cluster1
LCP5529T_s01783	LCP5529T_contig68	44620	65867	cluster2
LCP5639_s01851	LCP5639_contig81	43240	64195	cluster2
LCP6615_s01894	LCP6615_contig93	15703	76902	cluster3
LCP6621_s01936	LCP6621_contig38	81059	173762	cluster26
LCP6622_s01953	LCP6622_contig24	17237	122345	cluster1
LCP6623_s01974	LCP6623_contig30	13913	87077	cluster25
LCP6697_s01988	LCP6697_contig86	16183	77043	cluster3
LCP6700_s02027	LCP6700_contig103	3003	75784	cluster25
LCP6701_s02040	LCP6701_contig131	16445	37400	cluster2
LCP797_s01620	LCP797_contig50	2194	209729	cluster17
LCP797_s01623	LCP797_contig99	15703	76725	cluster3
LMA421_s02055	LMA421_contig50	6354	92968	cluster5
LMA421_s02063	LMA421_contig106	27604	48851	cluster2
PN0144_s02085	PN0144_contig33	128344	219977	cluster26
PN0144_s02090	PN0144_contig94	19112	80251	cluster3
UBOCC-A-112050_s02145	UBOCC-A-112050_contig44	195804	217051	cluster2
UBOCC-A-112053_s02172	UBOCC-A-112053_contig90	55778	76733	cluster2
UBOCC-A-112059_s02186	UBOCC-A-112059_contig21	22689	132782	cluster1
UBOCC-A-116003_s02281	UBOCC-A-116003_contig22	277958	388051	cluster1
UBOCC-A-116003_s02288	UBOCC-A-116003_contig63	8247	70496	cluster20
ESE00019_SLR1	ESE00019_contig1	5329000	5371325	cluster24
ESE00019_SLR10	ESE00019_contig4	2785000	3115000	cluster12
ESE00019_SLR11	ESE00019_contig4	925000	1112000	cluster13
ESE00019_SLR12	ESE00019_contig5	1773000	1843000	cluster11
ESE00019_SLR14	ESE00019_contig6	1	666000	cluster6
ESE00019_SLR16	ESE00019_contig6	2096000	2142000	cluster16
ESE00019_SLR17	ESE00019_contig6	3166000	3237000	cluster5
ESE00019_SLR18	ESE00019_contig7	1	624000	cluster21
ESE00019_SLR19	ESE00019_contig9	5000	771560	cluster8
ESE00019_SLR2	ESE00019_contig1	7873000	7914917	cluster15
ESE00019_SLR3	ESE00019_contig13	1	108157	cluster4
ESE00019_SLR4	ESE00019_contig2	2962000	3062000	cluster6
ESE00019_SLR5	ESE00019_contig2	5961000	6087000	cluster14
ESE00019_SLR6	ESE00019_contig3	1295000	1643000	cluster7
ESE00019_SLR8	ESE00019_contig3	5448000	5560710	cluster4
ESE00019_SLR9	ESE00019_contig4	1	41000	cluster4
ESE00418_SLR23	ESE00418_contig15	1	123000	cluster5
ESE00418_SLR24	ESE00418_contig16	1377213	2786000	cluster9
ESE00418_SLR26	ESE00418_contig16	6053000	6240539	cluster10
ESE00418_SLR28	ESE00418_contig17	1	67102	cluster4
ESE00418_SLR31	ESE00418_contig20	2495000	2814233	cluster9
ESE00418_SLR32	ESE00418_contig21	419000	555000	cluster7
ESE00418_SLR33	ESE00418_contig3	1365000	1704000	cluster12
ESE00418_SLR34	ESE00418_contig3	3160000	3382129	cluster9
ESE00418_SLR35	ESE00418_contig3	494000	669000	cluster13
ESE00418_SLR36	ESE00418_contig34	3946000	3996696	cluster16
ESE00418_SLR37	ESE00418_contig34	5121000	5178880	cluster24
ESE00418_SLR38	ESE00418_contig34	8729000	9166162	cluster6
ESE00418_SLR39	ESE00418_contig36	1	463000	cluster11
ESE00418_SLR40	ESE00418_contig36	1574000	1876513	cluster10
ESE00418_SLR41	ESE00418_contig38	1771000	1801272	cluster4
ESE00418_SLR42	ESE00418_contig39	1	146000	cluster5
ESE01543_SLR43	ESE01543_contig15	1	60000	cluster4
ESE01543_SLR44	ESE01543_contig15	4489000	4664322	cluster6
ESE01543_SLR45	ESE01543_contig16	1	734582	cluster9
ESE01543_SLR46	ESE01543_contig17	2321000	2714000	cluster11
ESE01543_SLR48	ESE01543_contig17	9944000	10091000	cluster7
ESE01543_SLR49	ESE01543_contig22	1259000	1316000	cluster16
ESE01543_SLR50	ESE01543_contig22	2565000	2741506	cluster20
ESE01543_SLR51	ESE01543_contig23	1	472769	cluster6
ESE01543_SLR53	ESE01543_contig3	1	36000	cluster8
ESE01543_SLR54_1	ESE01543_contig3	367000	623364	cluster15
ESE01543_SLR54_2	ESE01543_contig3	644319	713231	cluster8
ESE01543_SLR55	ESE01543_contig6	1614000	1646611	cluster4
ESE01543_SLR56	ESE01543_contig7	1	182933	cluster4
ESE01543_SLR57	ESE01543_contig9	1755396	1862000	cluster12
ESE01543_SLR58	ESE01543_contig9	2075000	2406000	cluster12
ESE01543_SLR59	ESE01543_contig9	3103000	3280000	cluster13
LCP05531_SLR62	LCP05531_contig1	11796000	11900000	cluster15
LCP05531_SLR63	LCP05531_contig1	12187000	13088505	cluster6
LCP05531_SLR66	LCP05531_contig2	1	119760	cluster9
LCP05531_SLR67	LCP05531_contig2	6187000	6559000	cluster10
LCP05531_SLR68	LCP05531_contig3	2388000	2715000	cluster11
LCP05531_SLR69	LCP05531_contig3	5673000	5727000	cluster16
LCP05531_SLR70	LCP05531_contig4	2950000	3178000	cluster12
LCP05531_SLR71	LCP05531_contig4	3500000	3605000	cluster1
LCP05531_SLR72	LCP05531_contig4	4060000	4230000	cluster13
LCP05531_SLR74	LCP05531_contig4	6076000	6186000	cluster18
LCP05531_SLR76	LCP05531_contig5	2490000	2616000	cluster7
LCP05531_SLR77	LCP05531_contig6	939000	982444	cluster27
LCP06093_SLR78	LCP06093_contig1	1	460000	cluster6
LCP06093_SLR79	LCP06093_contig1	1241000	1282000	cluster8
LCP06093_SLR80	LCP06093_contig11	1	43328	cluster21
LCP06093_SLR81	LCP06093_contig12	671000	743000	cluster5
LCP06093_SLR82	LCP06093_contig16	1	211304	cluster6
LCP06093_SLR83	LCP06093_contig2	2634000	2720000	cluster1
LCP06093_SLR84	LCP06093_contig2	4542000	4602000	cluster11
LCP06093_SLR85	LCP06093_contig2	4840000	4961000	cluster14
LCP06093_SLR86	LCP06093_contig2	906000	982000	cluster18
LCP06093_SLR88	LCP06093_contig4	2821000	3637881	cluster9
LCP06093_SLR89	LCP06093_contig4	807000	1169000	cluster7
LCP06093_SLR90	LCP06093_contig5	2626000	2774498	cluster13
LCP06093_SLR91	LCP06093_contig5	608000	952000	cluster12
ESE00018_s00006	ESE00018_contig37	13802	124283	cluster1	cluster1
ESE00019_s00021	ESE00019_contig1	5371325	5485282	cluster8	cluster10
ESE00019_s00022	ESE00019_contig1	7914917	8400596	ESE00019_s00022	ESE00019_s00022
ESE00019_s00028	ESE00019_contig3	4169110	4264713	cluster18	cluster13
ESE00019_s00033	ESE00019_contig5	506505	612135	cluster1	cluster1
ESE00019_s00037	ESE00019_contig6	1247869	1408002	cluster10	cluster14
ESE00086_s00090	ESE00086_contig43	194680	270374	cluster19	cluster19
ESE00086_s00092	ESE00086_contig49	134750	209382	cluster5	cluster5
ESE00087_s00109	ESE00087_contig98	44195	65150	cluster2	cluster2
ESE00089_s00138	ESE00089_contig88	43634	64589	cluster2	cluster2
ESE00090_s00154	ESE00090_contig2	8868642	8918968	ESE00090_s00154	ESE00090_s00154
ESE00090_s00155	ESE00090_contig2	8931950	8992966	cluster3	cluster3
ESE00090_s00157	ESE00090_contig5	2285296	2385081	cluster22	ESE00090_s00157
ESE00125_s00183	ESE00125_contig49	26521	136473	cluster1	cluster1
ESE00126_s00214	ESE00126_contig93	33668	54915	cluster2	cluster2
ESE00139_s00245	ESE00139_contig3	318552	428474	cluster1	cluster1
ESE00151_s00266	ESE00151_contig106	36861	57816	cluster2	cluster2
ESE00155_s00304	ESE00155_contig50	107368	168466	cluster3	cluster3
ESE00156_s00317	ESE00156_contig109	37191	58146	cluster2	cluster2
ESE00157_s00340	ESE00157_contig106	36990	57945	cluster2	cluster2
ESE00158_s00361	ESE00158_contig101	41094	62049	cluster2	cluster2
ESE00160_s00396	ESE00160_contig127	43478	64433	cluster2	cluster2
ESE00207_s00416	ESE00207_contig109	54540	75495	cluster2	cluster2
ESE00211_s00437	ESE00211_contig111	36207	57162	cluster2	cluster2
ESE00230_s00456	ESE00230_contig117	24207	94748	cluster14	cluster11
ESE00231_s00482	ESE00231_contig112	4330	75339	cluster14	cluster11
ESE00282_s00519	ESE00282_contig52	132939	153894	cluster2	cluster2
ESE00283_s00547	ESE00283_contig124	36649	57896	cluster2	cluster2
ESE00418_s00606	ESE00418_contig16	1011172	1142006	cluster15	cluster16
ESE00418_s00607	ESE00418_contig16	1263347	1377213	cluster8	cluster10
ESE00418_s00610	ESE00418_contig16	3262711	3376888	cluster7	cluster9
ESE00418_s00613	ESE00418_contig19	656481	731964	ESE00418_s00613	ESE00418_s00613
ESE00418_s00614	ESE00418_contig20	2240150	2391940	cluster1	cluster1
ESE00418_s00615	ESE00418_contig20	2241219	2391940	cluster1	cluster1
ESE00418_s00620	ESE00418_contig34	3996696	4446457	ESE00418_s00620	ESE00418_s00620
ESE00418_s00621	ESE00418_contig34	5178880	5252439	cluster23	cluster22
ESE00553_s00638	ESE00553_contig51	18035	132004	cluster1	cluster1
ESE00958_s00670	ESE00958_contig10	447676	539110	cluster5	cluster5
ESE00958_s00677	ESE00958_contig65	113390	174554	cluster3	cluster3
ESE00960_s00681	ESE00960_contig1	52901	163131	cluster1	cluster1
ESE00960_s00693	ESE00960_contig87	41216	62463	cluster2	cluster2
ESE00961_s00707	ESE00961_contig57	1268	209071	cluster17	cluster12
ESE00961_s00711	ESE00961_contig94	22273	83295	cluster3	cluster3
ESE00993_s00753	ESE00993_contig93	16445	37400	cluster2	cluster2
ESE01218_s00785	ESE01218_contig18	275536	405243	cluster1	cluster1
ESE01261_s00804	ESE01261_contig16	210109	314359	cluster1	cluster1
ESE01261_s00814	ESE01261_contig116	4330	74918	cluster14	cluster11
ESE01262_s00834	ESE01262_contig93	36223	57178	cluster2	cluster2
ESE01393_s00869	ESE01393_contig4	189894	300475	cluster1	cluster1
ESE01400_s00920	ESE01400_contig112	59197	82783	cluster13	ESE01400_s00920
ESE01417_s00945	ESE01417_contig2	232010	342592	cluster1	cluster1
ESE01435_s00969	ESE01435_contig88	2198	119700	ESE01435_s00969	ESE01435_s00969
ESE01521_s01009	ESE01521_contig48	144035	254238	cluster1	cluster1
ESE01521_s01016	ESE01521_contig137	1023	33249	ESE01521_s01016	ESE01521_s01016
ESE01522_s01035	ESE01522_contig82	36634	57881	cluster2	cluster2
ESE01527_s01054	ESE01527_contig21	17899	132103	cluster1	cluster1
ESE01535_s01072	ESE01535_contig6	458578	569239	cluster1	cluster1
ESE01543_s01090	ESE01543_contig3	623364	644319	cluster2	cluster2
ESE01543_s01094	ESE01543_contig9	1636187	1755396	cluster1	cluster1
ESE01543_s01103	ESE01543_contig17	8041958	8372790	cluster7	cluster9
ESE01543_s01111	ESE01543_contig27	145803	234590	cluster5	ESE01543_s01111
ESE01564_s01113	ESE01564_contig4	458996	569088	cluster1	cluster1
ESE01567_s01133	ESE01567_contig33	66921	176396	cluster1	cluster1
ESE01567_s01143	ESE01567_contig101	44620	65867	cluster2	cluster2
ESE01587_s01161	ESE01587_contig22	40755	151299	cluster1	cluster1
ESE01587_s01167	ESE01587_contig54	135419	209234	cluster23	cluster22
ESE01592_s01222	ESE01592_contig63	82244	192264	cluster1	cluster1
ESE01592_s01228	ESE01592_contig101	4037	79730	cluster19	cluster19
ESE01594_s01235	ESE01594_contig4	10961	90717	cluster11	ESE01594_s01235
ESE01594_s01244	ESE01594_contig67	90689	111644	cluster2	cluster2
ESE01617_s01276	ESE01617_contig5	225947	335871	cluster1	cluster1
ESE01619_s01300	ESE01619_contig58	2907	113381	cluster1	cluster1
ESE01619_s01305	ESE01619_contig93	4037	79730	cluster19	cluster19
ESE01623_s01314	ESE01623_contig24	278113	388304	cluster1	cluster1
ESE01635_s01331	ESE01635_contig54	27623	101940	cluster5	cluster5
ESE01653_s01348	ESE01653_contig60	90964	201246	cluster1	cluster1
ESE01661_s01361	ESE01661_contig26	384105	445163	cluster3	cluster3
ESE01696_s01387	ESE01696_contig47	18035	132073	cluster1	cluster1
ESE01841_s01404	ESE01841_contig23	278072	388065	cluster1	cluster1
ESE01892_s01423	ESE01892_contig57	45834	155867	cluster1	cluster1
ESE01900_s01436	ESE01900_contig10	508884	529839	cluster2	cluster2
ESE02164_s01526	ESE02164_contig63	52901	162325	cluster1	cluster1
ESE02164_s01532	ESE02164_contig95	44619	65866	cluster2	cluster2
ESE02184_s01550	ESE02184_contig96	44559	65806	cluster2	cluster2
ESE02190_s01571	ESE02190_contig48	73736	183593	cluster1	cluster1
ESE02190_s01575	ESE02190_contig108	36635	57882	cluster2	cluster2
LCP05531_s01799	LCP05531_contig1	8199526	8890664	LCP05531_s01799	LCP05531_s01799
LCP05531_s01800	LCP05531_contig1	9695128	10104639	cluster7	cluster9
LCP05531_s01801	LCP05531_contig1	10929487	11001104	cluster27	cluster27
LCP05531_s01802	LCP05531_contig1	11405600	11627764	cluster4	cluster4
LCP05531_s01807	LCP05531_contig2	164425	185672	cluster2	cluster2
LCP05531_s01808	LCP05531_contig2	119760	255166	cluster2	cluster10
LCP05531_s01818	LCP05531_contig4	5866908	5965400	cluster8	LCP05531_s01818
LCP06093_s01874	LCP06093_contig3	671840	831457	cluster10	cluster14
LCP06093_s01880	LCP06093_contig7	621255	689401	cluster10	LCP06093_s01880
LCP06093_s01882	LCP06093_contig11	43328	308637	cluster4	cluster4
LCP3239_s01654	LCP3239_contig35	135400	228860	LCP3239_s01654	LCP3239_s01654
LCP4799_s01694	LCP4799_contig35	6264	214322	cluster17	cluster12
LCP4799_s01696	LCP4799_contig116	15832	76795	cluster3	cluster3
LCP5327_s01719	LCP5327_contig32	45384	253198	cluster17	cluster12
LCP5327_s01721	LCP5327_contig87	18793	116018	cluster22	LCP5327_s01721
LCP5327_s01722	LCP5327_contig97	15833	76718	cluster3	cluster3
LCP5471_s01732	LCP5471_contig133	17003	77895	cluster3	cluster3
LCP5496_s01742	LCP5496_contig45	19656	129575	cluster1	cluster1
LCP5529T_s01783	LCP5529T_contig68	44620	65867	cluster2	cluster2
LCP5639_s01851	LCP5639_contig81	43240	64195	cluster2	cluster2
LCP6615_s01894	LCP6615_contig93	15703	76902	cluster3	cluster3
LCP6621_s01936	LCP6621_contig38	81059	173762	cluster26	cluster26
LCP6622_s01953	LCP6622_contig24	17237	122345	cluster1	cluster1
LCP6623_s01974	LCP6623_contig30	13913	87077	cluster25	cluster24
LCP6697_s01988	LCP6697_contig86	16183	77043	cluster3	cluster3
LCP6700_s02027	LCP6700_contig103	3003	75784	cluster25	cluster24
LCP6701_s02040	LCP6701_contig131	16445	37400	cluster2	cluster2
LCP797_s01620	LCP797_contig50	2194	209729	cluster17	cluster12
LCP797_s01623	LCP797_contig99	15703	76725	cluster3	cluster3
LMA421_s02055	LMA421_contig50	6354	92968	cluster5	cluster5
LMA421_s02063	LMA421_contig106	27604	48851	cluster2	cluster2
PN0144_s02085	PN0144_contig33	128344	219977	cluster26	cluster26
PN0144_s02090	PN0144_contig94	19112	80251	cluster3	cluster3
UBOCC-A-112050_s02145	UBOCC-A-112050_contig44	195804	217051	cluster2	cluster2
UBOCC-A-112053_s02172	UBOCC-A-112053_contig90	55778	76733	cluster2	cluster2
UBOCC-A-112059_s02186	UBOCC-A-112059_contig21	22689	132782	cluster1	cluster1
UBOCC-A-116003_s02281	UBOCC-A-116003_contig22	277958	388051	cluster1	cluster1
UBOCC-A-116003_s02288	UBOCC-A-116003_contig63	8247	70496	cluster20	cluster25
ESE00019_SLR1	ESE00019_contig1	5329000	5371325	cluster24	cluster23
ESE00019_SLR10	ESE00019_contig4	2785000	3115000	cluster12	cluster7
ESE00019_SLR11	ESE00019_contig4	925000	1112000	cluster13	cluster8
ESE00019_SLR12	ESE00019_contig5	1773000	1843000	cluster11	cluster21
ESE00019_SLR14	ESE00019_contig6	1	666000	cluster6	cluster6
ESE00019_SLR16	ESE00019_contig6	2096000	2142000	cluster16	ESE00019_SLR16
ESE00019_SLR17	ESE00019_contig6	3166000	3237000	cluster5	cluster5
ESE00019_SLR18	ESE00019_contig7	1	624000	cluster21	ESE00019_SLR18
ESE00019_SLR19	ESE00019_contig9	5000	771560	cluster8	cluster17
ESE00019_SLR2	ESE00019_contig1	7873000	7914917	cluster15	ESE00019_SLR2
ESE00019_SLR3	ESE00019_contig13	1	108157	cluster4	cluster4
ESE00019_SLR4	ESE00019_contig2	2962000	3062000	cluster6	ESE00019_SLR4
ESE00019_SLR5	ESE00019_contig2	5961000	6087000	cluster14	cluster11
ESE00019_SLR6	ESE00019_contig3	1295000	1643000	cluster7	cluster9
ESE00019_SLR8	ESE00019_contig3	5448000	5560710	cluster4	cluster4
ESE00019_SLR9	ESE00019_contig4	1	41000	cluster4	cluster4
ESE00090_SLR20	ESE00090_contig1	4755000	4893000	ESE00090_SLR20	ESE00090_SLR20
ESE00090_SLR22	ESE00090_contig5	2385081	2537000	ESE00090_SLR22	ESE00090_SLR22
ESE00418_SLR23	ESE00418_contig15	1	123000	cluster5	ESE00418_SLR23
ESE00418_SLR24	ESE00418_contig16	1377213	2786000	cluster9	ESE00418_SLR24
ESE00418_SLR26	ESE00418_contig16	6053000	6240539	cluster10	ESE00418_SLR26
ESE00418_SLR27	ESE00418_contig16	977000	1011172	ESE00418_SLR27	ESE00418_SLR27
ESE00418_SLR28	ESE00418_contig17	1	67102	cluster4	cluster4
ESE00418_SLR31	ESE00418_contig20	2495000	2814233	cluster9	cluster17
ESE00418_SLR32	ESE00418_contig21	419000	555000	cluster7	cluster18
ESE00418_SLR33	ESE00418_contig3	1365000	1704000	cluster12	cluster7
ESE00418_SLR34	ESE00418_contig3	3160000	3382129	cluster9	cluster20
ESE00418_SLR35	ESE00418_contig3	494000	669000	cluster13	cluster8
ESE00418_SLR36	ESE00418_contig34	3946000	3996696	cluster16	cluster15
ESE00418_SLR37	ESE00418_contig34	5121000	5178880	cluster24	cluster23
ESE00418_SLR38	ESE00418_contig34	8729000	9166162	cluster6	cluster6
ESE00418_SLR39	ESE00418_contig36	1	463000	cluster11	ESE00418_SLR39
ESE00418_SLR40	ESE00418_contig36	1574000	1876513	cluster10	ESE00418_SLR40
ESE00418_SLR41	ESE00418_contig38	1771000	1801272	cluster4	cluster4
ESE00418_SLR42	ESE00418_contig39	1	146000	cluster5	ESE00418_SLR42
ESE01543_SLR43	ESE01543_contig15	1	60000	cluster4	ESE01543_SLR43
ESE01543_SLR44	ESE01543_contig15	4489000	4664322	cluster6	ESE01543_SLR44
ESE01543_SLR45	ESE01543_contig16	1	734582	cluster9	cluster17
ESE01543_SLR46	ESE01543_contig17	2321000	2714000	cluster11	cluster28
ESE01543_SLR48	ESE01543_contig17	9944000	10091000	cluster7	cluster18
ESE01543_SLR49	ESE01543_contig22	1259000	1316000	cluster16	cluster15
ESE01543_SLR50	ESE01543_contig22	2565000	2741506	cluster20	cluster25
ESE01543_SLR51	ESE01543_contig23	1	472769	cluster6	cluster6
ESE01543_SLR53	ESE01543_contig3	1	36000	cluster8	ESE01543_SLR53
ESE01543_SLR54_1	ESE01543_contig3	367000	623364	cluster15	cluster16
ESE01543_SLR54_2	ESE01543_contig3	644319	713231	cluster8	cluster10
ESE01543_SLR55	ESE01543_contig6	1614000	1646611	cluster4	cluster4
ESE01543_SLR56	ESE01543_contig7	1	182933	cluster4	cluster4
ESE01543_SLR57	ESE01543_contig9	1755396	1862000	cluster12	ESE01543_SLR57
ESE01543_SLR58	ESE01543_contig9	2075000	2406000	cluster12	cluster7
ESE01543_SLR59	ESE01543_contig9	3103000	3280000	cluster13	cluster8
LCP05531_SLR60	LCP05531_contig1	11001104	11038000	LCP05531_SLR60	LCP05531_SLR60
LCP05531_SLR62	LCP05531_contig1	11796000	11900000	cluster15	cluster16
LCP05531_SLR63	LCP05531_contig1	12187000	13088505	cluster6	cluster6
LCP05531_SLR66	LCP05531_contig2	1	119760	cluster9	cluster20
LCP05531_SLR67	LCP05531_contig2	6187000	6559000	cluster10	cluster14
LCP05531_SLR68	LCP05531_contig3	2388000	2715000	cluster11	cluster28
LCP05531_SLR69	LCP05531_contig3	5673000	5727000	cluster16	cluster15
LCP05531_SLR70	LCP05531_contig4	2950000	3178000	cluster12	cluster7
LCP05531_SLR71	LCP05531_contig4	3500000	3605000	cluster1	cluster1
LCP05531_SLR72	LCP05531_contig4	4060000	4230000	cluster13	cluster8
LCP05531_SLR74	LCP05531_contig4	6076000	6186000	cluster18	cluster13
LCP05531_SLR75	LCP05531_contig5	2210000	2327000	LCP05531_SLR75	LCP05531_SLR75
LCP05531_SLR76	LCP05531_contig5	2490000	2616000	cluster7	cluster18
LCP05531_SLR77	LCP05531_contig6	939000	982444	cluster27	cluster27
LCP06093_SLR78	LCP06093_contig1	1	460000	cluster6	cluster6
LCP06093_SLR79	LCP06093_contig1	1241000	1282000	cluster8	cluster10
LCP06093_SLR80	LCP06093_contig11	1	43328	cluster21	LCP06093_SLR80
LCP06093_SLR81	LCP06093_contig12	671000	743000	cluster5	cluster5
LCP06093_SLR82	LCP06093_contig16	1	211304	cluster6	LCP06093_SLR82
LCP06093_SLR83	LCP06093_contig2	2634000	2720000	cluster1	cluster1
LCP06093_SLR84	LCP06093_contig2	4542000	4602000	cluster11	cluster21
LCP06093_SLR85	LCP06093_contig2	4840000	4961000	cluster14	cluster11
LCP06093_SLR86	LCP06093_contig2	906000	982000	cluster18	cluster13
LCP06093_SLR88	LCP06093_contig4	2821000	3637881	cluster9	LCP06093_SLR88
LCP06093_SLR89	LCP06093_contig4	807000	1169000	cluster7	cluster9
LCP06093_SLR90	LCP06093_contig5	2626000	2774498	cluster13	cluster8
LCP06093_SLR91	LCP06093_contig5	608000	952000	cluster12	cluster7
