starship_SLR	navis-haplotype	contig	start	end	size	captain	captain_start	captain_end	captain_sense
ESE00090_SLR20	NA	ESE00090_contig1	4755000	4893000	138000	ESE00090_tyr156	4783449	4784002	+
ESE00090_SLR22	NA	ESE00090_contig5	2385081	2537000	151919	NA	NA	NA	NA
ESE00418_SLR23	NA	ESE00418_contig15	1	123000	122999	ESE00418_tyr653;ESE00418_tyr652	37855;60316	39936;62395	-;-
ESE00418_SLR24	NA	ESE00418_contig16	1377213	2786000	1408787	ESE00418_tyr658;ESE00418_tyr657	2473143;2730849	2475474;2733577	+;-
ESE00418_SLR26	NA	ESE00418_contig16	6053000	6240539	187539	ESE00418_tyr659	6053277	6056804	+
ESE00418_SLR27	NA	ESE00418_contig16	977000	1011172	34172	NA	NA	NA	NA
ESE00418_SLR28	NA	ESE00418_contig17	1	67102	67101	ESE00418_tyr660	3	3198	+
ESE00418_SLR31	NA	ESE00418_contig20	2495000	2814233	319233	ESE00418_tyr663	2529131	2531868	+
ESE00418_SLR32	NA	ESE00418_contig21	419000	555000	136000	ESE00418_tyr666;ESE00418_tyr665	512334;533082	512887;534950	+;+
ESE00418_SLR33	NA	ESE00418_contig3	1365000	1704000	339000	ESE00418_tyr643	1573374	1576043	-
ESE00418_SLR34	NA	ESE00418_contig3	3160000	3382129	222129	ESE00418_tyr644	3162803	3165465	+
ESE00418_SLR35	NA	ESE00418_contig3	494000	669000	175000	ESE00418_tyr642	652195	653889	-
ESE00418_SLR36	NA	ESE00418_contig34	3946000	3996696	50696	NA	NA	NA	NA
ESE00418_SLR37	NA	ESE00418_contig34	5121000	5178880	57880	NA	NA	NA	NA
ESE00418_SLR38	NA	ESE00418_contig34	8729000	9166162	437162	ESE00418_tyr638;ESE00418_tyr641	8748908;9028681	8751625;9030323	+;+
ESE00418_SLR39	NA	ESE00418_contig36	1	463000	462999	ESE00418_tyr647;ESE00418_tyr645	260085;459678	262558;461898	-;-
ESE00418_SLR40	NA	ESE00418_contig36	1574000	1876513	302513	ESE00418_tyr646	1574824	1580290	+
ESE00418_SLR41	NA	ESE00418_contig38	1771000	1801272	30272	ESE00418_tyr648	1772243	1775775	+
ESE00418_SLR42	NA	ESE00418_contig39	1	146000	145999	ESE00418_tyr651;ESE00418_tyr649;ESE00418_tyr650	33887;36683;53710	35983;37012;55136	-;+;-
ESE01543_SLR43	NA	ESE01543_contig15	1	60000	59999	ESE01543_tyr1111	24337	27868	-
ESE01543_SLR44	NA	ESE01543_contig15	4489000	4664322	175322	ESE01543_tyr1110;ESE01543_tyr1109	4508739;4631323	4511456;4633833	+;+
ESE01543_SLR45	NA	ESE01543_contig16	1	734582	734581	ESE01543_tyr1112	614945	617682	-
ESE01543_SLR46	NA	ESE01543_contig17	2321000	2714000	393000	ESE01543_tyr1117;ESE01543_tyr1116	2321820;2666770	2324040;2669281	+;-
ESE01543_SLR48	NA	ESE01543_contig17	9944000	10091000	147000	ESE01543_tyr1113;ESE01543_tyr1114	9964388;9993701	9966256;9994254	-;-
ESE01543_SLR49	NA	ESE01543_contig22	1259000	1316000	57000	ESE01543_tyr1128	1260204	1263078	-
ESE01543_SLR50	NA	ESE01543_contig22	2565000	2741506	176506	ESE01543_tyr1129;ESE01543_tyr1127	2690927;2716353	2691082;2718806	-;+
ESE01543_SLR51	NA	ESE01543_contig23	1	472769	472768	ESE01543_tyr1131;ESE01543_tyr1130	248086;377258	250745;380616	-;-
ESE01543_SLR53	NA	ESE01543_contig3	1	36000	35999	ESE01543_tyr1118	27559	30067	-
ESE01543_SLR54_1	NA	ESE01543_contig3	367000	623364	256364	ESE01543_tyr1119	418884	421395	+
ESE01543_SLR54_2	NA	ESE01543_contig3	644319	713231	68912	ESE01543_tyr1120	710204	712589	-
ESE01543_SLR55	NA	ESE01543_contig6	1614000	1646611	32611	ESE01543_tyr1122	1615157	1618691	+
ESE01543_SLR56	NA	ESE01543_contig7	1	182933	182932	ESE01543_tyr1123	178803	182314	-
ESE01543_SLR57	NA	ESE01543_contig9	1755396	1862000	106604	NA	NA	NA	NA
ESE01543_SLR58	NA	ESE01543_contig9	2075000	2406000	331000	ESE01543_tyr1125	2197609	2200278	+
ESE01543_SLR59	NA	ESE01543_contig9	3103000	3280000	177000	ESE01543_tyr1124	3117477	3119171	+
LCP05531_SLR60	NA	LCP05531_contig1	11001104	11038000	36896	NA	NA	NA	NA
LCP05531_SLR62	NA	LCP05531_contig1	11796000	11900000	104000	LCP05531_tyr1621	11893656	11896168	-
LCP05531_SLR63	NA	LCP05531_contig1	12187000	13088505	901505	LCP05531_tyr1624;LCP05531_tyr1628;LCP05531_tyr1627	12207212;12710633;12897220	12209929;12713301;12898862	+;+;+
LCP05531_SLR66	NA	LCP05531_contig2	1	119760	119759	NA	NA	NA	NA
LCP05531_SLR67	NA	LCP05531_contig2	6187000	6559000	372000	LCP05531_tyr1630;LCP05531_tyr1631;LCP05531_tyr1632	6188420;6284605;6313021	6193806;6287995;6315074	+;+;+
LCP05531_SLR68	NA	LCP05531_contig3	2388000	2715000	327000	LCP05531_tyr1634	2388877	2391097	+
LCP05531_SLR69	NA	LCP05531_contig3	5673000	5727000	54000	LCP05531_tyr1635	5722521	5725395	+
LCP05531_SLR70	NA	LCP05531_contig4	2950000	3178000	228000	LCP05531_tyr1637	3037077	3039746	+
LCP05531_SLR71	NA	LCP05531_contig4	3500000	3605000	105000	LCP05531_tyr1641	3602205	3604237	-
LCP05531_SLR72	NA	LCP05531_contig4	4060000	4230000	170000	LCP05531_tyr1636	4075137	4076831	+
LCP05531_SLR74	NA	LCP05531_contig4	6076000	6186000	110000	LCP05531_tyr1639	6162542	6165069	-
LCP05531_SLR75	NA	LCP05531_contig5	2210000	2327000	117000	LCP05531_tyr1645;LCP05531_tyr1642;LCP05531_tyr1643	2211207;2305634;2318177	2213944;2306548;2320372	-;+;-
LCP05531_SLR76	NA	LCP05531_contig5	2490000	2616000	126000	LCP05531_tyr1644	2510074	2511942	-
LCP05531_SLR77	NA	LCP05531_contig6	939000	982444	43444	LCP05531_tyr1646	944599	946850	+
LCP06093_SLR78	NA	LCP06093_contig1	1	460000	459999	LCP06093_tyr1648;LCP06093_tyr1649	253961;437568	257319;440285	-;+
LCP06093_SLR79	NA	LCP06093_contig1	1241000	1282000	41000	LCP06093_tyr1647	1275527	1278038	-
LCP06093_SLR80	NA	LCP06093_contig11	1	43328	43327	NA	NA	NA	NA
LCP06093_SLR81	NA	LCP06093_contig12	671000	743000	72000	LCP06093_tyr1663	678562	680643	+
LCP06093_SLR82	NA	LCP06093_contig16	1	211304	211303	LCP06093_tyr1665	145918	148577	-
LCP06093_SLR83	NA	LCP06093_contig2	2634000	2720000	86000	LCP06093_tyr1653	2717022	2719054	-
LCP06093_SLR84	NA	LCP06093_contig2	4542000	4602000	60000	LCP06093_tyr1651	4542912	4545132	+
LCP06093_SLR85	NA	LCP06093_contig2	4840000	4961000	121000	LCP06093_tyr1650	4921958	4924028	-
LCP06093_SLR86	NA	LCP06093_contig2	906000	982000	76000	LCP06093_tyr1652	907668	910195	+
LCP06093_SLR88	NA	LCP06093_contig4	2821000	3637881	816881	LCP06093_tyr1657	2900787	2903524	+
LCP06093_SLR89	NA	LCP06093_contig4	807000	1169000	362000	LCP06093_tyr1655;LCP06093_tyr1656	1148361;807350	1150229;810993	+;+
LCP06093_SLR90	NA	LCP06093_contig5	2626000	2774498	148498	LCP06093_tyr1658	2641146	2642897	+
LCP06093_SLR91	NA	LCP06093_contig5	608000	952000	344000	LCP06093_tyr1659	821693	824363	-
