SLR	navis-haplotype	contig	start	end	size	captain	captain_start	captain_end	captain_size	captain_sense
ESE00418_SLR33	NA	ESE00418_contig3	1365000	1704000	339000	ESE00418_duf3723511	1558805	1559731	252	+
ESE00418_SLR33	NA	ESE00418_contig3	1365000	1704000	339000	ESE00418_tyr643	1573374	1576043	911	-
ESE00418_SLR34	NA	ESE00418_contig3	3160000	3382129	222129	ESE00418_tyr644	3162803	3165465	1008	+
ESE00418_SLR34	NA	ESE00418_contig3	3160000	3382129	222129	ESE00418_duf3723510	3185177	3188041	1014	-
ESE00418_SLR34	NA	ESE00418_contig3	3160000	3382129	222129	ESE00418_duf3723513	3188158	3188909	233	-
ESE00418_SLR35	NA	ESE00418_contig3	494000	669000	175000	ESE00418_tyr642	652195	653889	314	-
ESE00418_SLR36	NA	ESE00418_contig34	3946000	3996696	50696	NA	NA	NA	NA	NA
ESE00418_SLR37	NA	ESE00418_contig34	5121000	5178880	57880	NA	NA	NA	NA	NA
ESE00418_SLR38	NA	ESE00418_contig34	8729000	9166162	437162	ESE00418_tyr638	8748908	8751625	902	+
ESE00418_SLR38	NA	ESE00418_contig34	8729000	9166162	437162	ESE00418_tyr641	9028681	9030323	285	+
ESE00418_SLR39	NA	ESE00418_contig36	1	463000	462999	ESE00418_duf3723516	196385	198104	136	+
ESE00418_SLR39	NA	ESE00418_contig36	1	463000	462999	ESE00418_tyr647	260085	262558	970	-
ESE00418_SLR39	NA	ESE00418_contig36	1	463000	462999	ESE00418_duf3723515	386128	387930	331	+
ESE00418_SLR39	NA	ESE00418_contig36	1	463000	462999	ESE00418_tyr645	459678	461898	752	-
ESE00418_SLR40	NA	ESE00418_contig36	1574000	1876513	302513	ESE00418_tyr646	1574824	1580290	2489	+
ESE00418_SLR40	NA	ESE00418_contig36	1574000	1876513	302513	ESE00418_fre356	1782858	1784592	901	+
ESE00418_SLR40	NA	ESE00418_contig36	1574000	1876513	302513	ESE00418_duf3723517	1789801	1792716	1022	+
ESE00418_SLR41	NA	ESE00418_contig38	1771000	1801272	30272	ESE00418_tyr648	1772243	1775775	1530	+
ESE00418_SLR42	NA	ESE00418_contig39	1	146000	145999	ESE00418_duf3723520	30954	33130	1404	+
ESE00418_SLR42	NA	ESE00418_contig39	1	146000	145999	ESE00418_tyr651	33887	35983	692	-
ESE00418_SLR42	NA	ESE00418_contig39	1	146000	145999	ESE00418_tyr649	36683	37012	163	+
ESE00418_SLR42	NA	ESE00418_contig39	1	146000	145999	ESE00418_tyr650	53710	55136	459	-
ESE01543_SLR43	NA	ESE01543_contig15	1	60000	59999	ESE01543_tyr1111	24337	27868	937	-
ESE01543_SLR44	NA	ESE01543_contig15	4489000	4664322	175322	ESE01543_tyr1110	4508739	4511456	907	+
ESE01543_SLR44	NA	ESE01543_contig15	4489000	4664322	175322	ESE01543_tyr1109	4631323	4633833	1435	+
ESE01543_SLR45	NA	ESE01543_contig16	1	734582	734581	ESE01543_myb330	235327	237046	1016	-
ESE01543_SLR45	NA	ESE01543_contig16	1	734582	734581	ESE01543_duf3723912	287478	289763	308	+
ESE01543_SLR45	NA	ESE01543_contig16	1	734582	734581	ESE01543_duf3723913	442825	444474	165	+
ESE01543_SLR45	NA	ESE01543_contig16	1	734582	734581	ESE01543_tyr1112	614945	617682	1294	-
ESE01543_SLR46	NA	ESE01543_contig17	2321000	2714000	393000	ESE01543_tyr1117	2321820	2324040	752	+
ESE01543_SLR46	NA	ESE01543_contig17	2321000	2714000	393000	ESE01543_duf3723915	2566234	2568057	337	+
ESE01543_SLR46	NA	ESE01543_contig17	2321000	2714000	393000	ESE01543_fre620	2655075	2656866	724	+
ESE01543_SLR46	NA	ESE01543_contig17	2321000	2714000	393000	ESE01543_duf3723916	2661516	2664720	1072	+
ESE01543_SLR46	NA	ESE01543_contig17	2321000	2714000	393000	ESE01543_tyr1116	2666770	2669281	958	-
ESE01543_SLR48	NA	ESE01543_contig17	9944000	10091000	147000	ESE01543_tyr1113	9964388	9966256	943	-
ESE01543_SLR48	NA	ESE01543_contig17	9944000	10091000	147000	ESE01543_tyr1114	9993701	9994254	143	-
ESE01543_SLR49	NA	ESE01543_contig22	1259000	1316000	57000	ESE01543_tyr1128	1260204	1263078	335	-
ESE01543_SLR50	NA	ESE01543_contig22	2565000	2741506	176506	ESE01543_duf3723909	2685509	2685589	35	+
ESE01543_SLR50	NA	ESE01543_contig22	2565000	2741506	176506	ESE01543_tyr1129	2690927	2691082	37	-
ESE01543_SLR50	NA	ESE01543_contig22	2565000	2741506	176506	ESE01543_tyr1127	2716353	2718806	1410	+
ESE01543_SLR51	NA	ESE01543_contig23	1	472769	472768	ESE01543_tyr1131	248086	250745	505	-
ESE01543_SLR51	NA	ESE01543_contig23	1	472769	472768	ESE01543_tyr1130	377258	380616	1058	-
ESE01543_SLR51	NA	ESE01543_contig23	1	472769	472768	ESE01543_duf3723910	451404	452045	170	+
ESE01543_SLR53	NA	ESE01543_contig3	1	36000	35999	ESE01543_tyr1118	27559	30067	867	-
ESE01543_SLR54_1	NA	ESE01543_contig3	367000	623364	256364	ESE01543_tyr1119	418884	421395	1133	+
ESE01543_SLR54_1	NA	ESE01543_contig3	367000	623364	256364	ESE01543_duf3723901	479905	482769	1018	-
ESE01543_SLR54_1	NA	ESE01543_contig3	367000	623364	256364	ESE01543_duf3723902	482886	483637	228	-
ESE01543_SLR54_1	NA	ESE01543_contig3	367000	623364	256364	ESE01543_fre614	488066	489801	886	-
ESE01543_SLR54_1	NA	ESE01543_contig3	367000	623364	256364	ESE01543_duf3723900	617092	618902	243	+
ESE01543_SLR54_2	NA	ESE01543_contig3	644319	713231	68912	ESE01543_tyr1120	710204	712589	659	-
ESE01543_SLR55	NA	ESE01543_contig6	1614000	1646611	32611	ESE01543_tyr1122	1615157	1618691	1609	+
ESE01543_SLR56	NA	ESE01543_contig7	1	182933	182932	ESE01543_tyr1123	178803	182314	1001	-
ESE01543_SLR56	NA	ESE01543_contig7	1	182933	182932	ESE01543_duf3723903	50617	51397	248	-
ESE01543_SLR57	NA	ESE01543_contig9	1755396	1862000	106604	NA	NA	NA	NA	NA
ESE01543_SLR58	NA	ESE01543_contig9	2075000	2406000	331000	ESE01543_tyr1125	2197609	2200278	646	+
ESE01543_SLR58	NA	ESE01543_contig9	2075000	2406000	331000	ESE01543_duf3723906	2213921	2214847	252	-
ESE01543_SLR58	NA	ESE01543_contig9	2075000	2406000	331000	ESE01543_fre615	2220218	2221860	712	-
ESE01543_SLR59	NA	ESE01543_contig9	3103000	3280000	177000	ESE01543_tyr1124	3117477	3119171	314	+
LCP05531_SLR60	NA	LCP05531_contig1	11001104	11038000	36896	NA	NA	NA	NA	NA
LCP05531_SLR62	NA	LCP05531_contig1	11796000	11900000	104000	LCP05531_tyr1621	11893656	11896168	1498	-
LCP05531_SLR63	NA	LCP05531_contig1	12187000	13088505	901505	LCP05531_tyr1624	12207212	12209929	883	+
LCP05531_SLR63	NA	LCP05531_contig1	12187000	13088505	901505	LCP05531_tyr1628	12710633	12713301	784	+
LCP05531_SLR63	NA	LCP05531_contig1	12187000	13088505	901505	LCP05531_duf37231311	12841868	12843077	112	+
LCP05531_SLR63	NA	LCP05531_contig1	12187000	13088505	901505	LCP05531_tyr1627	12897220	12898862	285	+
LCP05531_SLR66	NA	LCP05531_contig2	1	119760	119759	NA	NA	NA	NA	NA
LCP05531_SLR67	NA	LCP05531_contig2	6187000	6559000	372000	LCP05531_tyr1630	6188420	6193806	1716	+
LCP05531_SLR67	NA	LCP05531_contig2	6187000	6559000	372000	LCP05531_tyr1631	6284605	6287995	1401	+
LCP05531_SLR67	NA	LCP05531_contig2	6187000	6559000	372000	LCP05531_tyr1632	6313021	6315074	493	+
LCP05531_SLR67	NA	LCP05531_contig2	6187000	6559000	372000	LCP05531_duf37231314	6375752	6378027	376	+
LCP05531_SLR67	NA	LCP05531_contig2	6187000	6559000	372000	LCP05531_myb479	6469344	6470562	696	+
LCP05531_SLR68	NA	LCP05531_contig3	2388000	2715000	327000	LCP05531_tyr1634	2388877	2391097	752	+
LCP05531_SLR68	NA	LCP05531_contig3	2388000	2715000	327000	LCP05531_duf37231319	2481171	2481990	237	-
LCP05531_SLR69	NA	LCP05531_contig3	5673000	5727000	54000	LCP05531_tyr1635	5722521	5725395	335	+
LCP05531_SLR70	NA	LCP05531_contig4	2950000	3178000	228000	LCP05531_tyr1637	3037077	3039746	907	+
LCP05531_SLR71	NA	LCP05531_contig4	3500000	3605000	105000	LCP05531_myb481	3556265	3556453	91	+
LCP05531_SLR71	NA	LCP05531_contig4	3500000	3605000	105000	LCP05531_duf37231320	3566712	3569094	527	+
LCP05531_SLR71	NA	LCP05531_contig4	3500000	3605000	105000	LCP05531_tyr1641	3602205	3604237	949	-
LCP05531_SLR72	NA	LCP05531_contig4	4060000	4230000	170000	LCP05531_tyr1636	4075137	4076831	239	+
LCP05531_SLR74	NA	LCP05531_contig4	6076000	6186000	110000	LCP05531_fre923	6126438	6128176	889	+
LCP05531_SLR74	NA	LCP05531_contig4	6076000	6186000	110000	LCP05531_duf37231322	6133481	6136318	1015	+
LCP05531_SLR74	NA	LCP05531_contig4	6076000	6186000	110000	LCP05531_tyr1639	6162542	6165069	1015	-
LCP05531_SLR75	NA	LCP05531_contig5	2210000	2327000	117000	LCP05531_tyr1645	2211207	2213944	1294	-
LCP05531_SLR75	NA	LCP05531_contig5	2210000	2327000	117000	LCP05531_tyr1642	2305634	2306548	452	+
LCP05531_SLR75	NA	LCP05531_contig5	2210000	2327000	117000	LCP05531_tyr1643	2318177	2320372	1129	-
LCP05531_SLR76	NA	LCP05531_contig5	2490000	2616000	126000	LCP05531_tyr1644	2510074	2511942	943	-
LCP05531_SLR77	NA	LCP05531_contig6	939000	982444	43444	LCP05531_tyr1646	944599	946850	1287	+
LCP05531_SLR77	NA	LCP05531_contig6	939000	982444	43444	LCP05531_duf37231324	967042	969550	783	+
LCP06093_SLR78	NA	LCP06093_contig1	1	460000	459999	LCP06093_tyr1648	253961	257319	1089	-
LCP06093_SLR78	NA	LCP06093_contig1	1	460000	459999	LCP06093_duf37231326	328939	329232	59	+
LCP06093_SLR78	NA	LCP06093_contig1	1	460000	459999	LCP06093_tyr1649	437568	440285	883	+
LCP06093_SLR79	NA	LCP06093_contig1	1241000	1282000	41000	LCP06093_tyr1647	1275527	1278038	1169	-
LCP06093_SLR80	NA	LCP06093_contig11	1	43328	43327	NA	NA	NA	NA	NA
LCP06093_SLR81	NA	LCP06093_contig12	671000	743000	72000	LCP06093_tyr1663	678562	680643	695	+
LCP06093_SLR81	NA	LCP06093_contig12	671000	743000	72000	LCP06093_duf37231340	681073	683249	1448	-
LCP06093_SLR82	NA	LCP06093_contig16	1	211304	211303	LCP06093_tyr1665	145918	148577	505	-
LCP06093_SLR82	NA	LCP06093_contig16	1	211304	211303	LCP06093_duf37231341	201279	203544	235	-
LCP06093_SLR83	NA	LCP06093_contig2	2634000	2720000	86000	LCP06093_myb485	2664646	2664834	91	+
LCP06093_SLR83	NA	LCP06093_contig2	2634000	2720000	86000	LCP06093_duf37231327	2675093	2677475	527	+
LCP06093_SLR83	NA	LCP06093_contig2	2634000	2720000	86000	LCP06093_tyr1653	2717022	2719054	949	-
LCP06093_SLR84	NA	LCP06093_contig2	4542000	4602000	60000	LCP06093_tyr1651	4542912	4545132	752	+
LCP06093_SLR85	NA	LCP06093_contig2	4840000	4961000	121000	LCP06093_duf37231329	4919185	4921616	1585	+
LCP06093_SLR85	NA	LCP06093_contig2	4840000	4961000	121000	LCP06093_tyr1650	4921958	4924028	894	-
LCP06093_SLR86	NA	LCP06093_contig2	906000	982000	76000	LCP06093_tyr1652	907668	910195	1015	+
LCP06093_SLR86	NA	LCP06093_contig2	906000	982000	76000	LCP06093_duf37231328	936410	939247	1015	-
LCP06093_SLR86	NA	LCP06093_contig2	906000	982000	76000	LCP06093_duf37231330	939364	940115	233	-
LCP06093_SLR86	NA	LCP06093_contig2	906000	982000	76000	LCP06093_fre928	944552	946290	886	-
LCP06093_SLR88	NA	LCP06093_contig4	2821000	3637881	816881	LCP06093_tyr1657	2900787	2903524	1294	+
LCP06093_SLR88	NA	LCP06093_contig4	2821000	3637881	816881	LCP06093_duf37231332	3073914	3076199	206	-
LCP06093_SLR88	NA	LCP06093_contig4	2821000	3637881	816881	LCP06093_duf37231333	3471221	3473516	333	+
LCP06093_SLR88	NA	LCP06093_contig4	2821000	3637881	816881	LCP06093_duf37231334	3574499	3577680	1070	+
LCP06093_SLR89	NA	LCP06093_contig4	807000	1169000	362000	LCP06093_tyr1655	1148361	1150229	943	+
LCP06093_SLR89	NA	LCP06093_contig4	807000	1169000	362000	LCP06093_tyr1656	807350	810993	1060	+
LCP06093_SLR89	NA	LCP06093_contig4	807000	1169000	362000	LCP06093_duf37231335	915727	916954	158	-
LCP06093_SLR90	NA	LCP06093_contig5	2626000	2774498	148498	LCP06093_tyr1658	2641146	2642897	337	+
LCP06093_SLR91	NA	LCP06093_contig5	608000	952000	344000	LCP06093_duf37231337	800861	801884	242	+
LCP06093_SLR91	NA	LCP06093_contig5	608000	952000	344000	LCP06093_duf37231336	807190	808068	331	+
LCP06093_SLR91	NA	LCP06093_contig5	608000	952000	344000	LCP06093_tyr1659	821693	824363	845	-
